"SongID","Tag"
1023,Turrican
1024,Gamemusic
1024,Turrican
1025,Gamemusic
1025,Turrican
1026,Gamemusic
1026,Turrican
1026,waltz
1027,Gamemusic
1027,Short
1027,Turrican
1028,Gamemusic
1028,Turrican
1029,Gamemusic
1029,Heroic
1029,SpaceShooter
1029,Turrican
1030,Gamemusic
1030,Turrican
1031,Gamemusic
1031,Short
1031,Turrican
1032,Gamemusic
1032,Turrican
1033,Gamemusic
1033,Turrican
1034,Gamemusic
1034,Short
1034,Turrican
1035,GameRemix
1035,Turrican
1036,GameRemix
1036,long
1036,Remake
1036,TruckDriversGearChange
1036,Turrican
1037,claps
1037,GameRemix
1037,long
1037,medley
1037,Remake
1037,Turrican
1039,GameRemix
1039,Heroic
1039,Turrican
1040,hymn
1040,Repetitive
1040,Retro
1040,Space
1040,video
1043,Gamemusic
1044,Guitar
1044,Software
1045,long
1048,"1993"
1048,"40k"
1048,Amiga
1048,Demo
1048,Intro
1048,Short
1048,video
1049,Short
1050,"1994"
1050,TheParty
1050,video
1052,Short
1054,TheCharts
1062,Short
1065,Guitar
1067,arpeggios
1067,Chiptune
1067,Short
1070,alcohol
1071,TheCharts
1072,TheCharts
1074,Guitar
1074,TheJungle
1076,cowbell
1076,distortedguitar
1076,Guitar
1078,soft
1080,Blues
1080,Organ
1080,shuffle
1081,Short
1083,"1992"
1083,OutOfTune
1083,TheGathering
1084,demostyle
1084,OldSchool
1085,Guitar
1087,CommercialSamples
1087,RATM
1087,Remake
1088,Short
1090,Generation
1093,Gamemusic
1093,long
1094,samples
1096,"1993"
1096,Amiga
1096,Blues
1096,CommercialSamples
1096,Musicdisk
1098,food
1099,Short
1100,Drum&Bass
1104,animal
1105,Generation
1106,GameRemix
1106,Short
1107,Generation
1108,food
1108,TheCharts
1109,Vocals
1118,Musicdisk
1120,weather
1123,food
1123,Short
1126,Psytrance
1128,Sledgehammer
1132,"1994"
1132,Amiga
1132,Compowinner
1132,Demo
1132,DoomsDayParty
1132,prodigy
1132,TruckDriversGearChange
1132,video
1134,Tango
1135,Techno
1135,trance
1135,Untz
1137,polka
1138,prodigy
1138,video
1140,"1994"
1140,AGA
1140,Amiga
1140,Demo
1140,TheParty
1140,video
1142,saxophone
1143,saxophone
1144,Funk
1144,saxophone
1145,OutOfTune
1147,"1995"
1147,Gasp
1148,Funk
1152,Funk
1154,cowbell
1154,Funky
1156,long
1159,Funk
1159,Organ
1161,Flute
1161,Short
1162,"1993"
1162,Funky
1162,video
1165,"1996"
1165,Funk
1165,Guitar
1165,Saturne
1166,GameRemix
1169,Vocals
1171,Christmas
1173,long
1178,TruckDriversGearChange
1179,Piano
1179,quiet
1179,Relaxing
1180,Classical
1180,cover
1180,pachelbel
1180,strings
1181,Speak
1182,long
1184,Vocals
1185,Scream
1188,long
1192,trance
1192,Untz
1195,Drum&Bass
1195,Jungle
1195,long
1195,rolling
1195,sinewave
1197,long
1207,"1996"
1207,Saturne
1207,video
1209,Short
1210,"1996"
1210,atmospheric
1210,Compowinner
1210,Demo
1210,long
1210,Saturne
1210,Slow
1210,video
1211,Short
1212,"1994"
1212,Amiga
1212,Compowinner
1212,Demo
1212,Epic
1212,Funk
1212,Real
1212,Saturne
1212,video
1213,Mellow
1215,"1994"
1215,Amiga
1215,Compowinner
1215,Demo
1215,epilogue
1215,Funk
1215,Saturne
1215,video
1216,"1995"
1216,TheParty
1216,video
1220,"1994"
1220,Saturne
1221,video
1222,prodigy
1222,video
1225,"1993"
1225,Saturne
1227,"1994"
1227,TheParty
1228,"1993"
1228,TheParty
1228,video
1229,Short
1234,food
1236,Chiptune
1239,coop
1239,Short
1242,DialingTones
1248,siren
1250,Short
1254,CommercialSamples
1254,Remix
1254,Untz
1254,voice
1255,long
1256,long
1257,Acid
1257,Ethnic
1257,minimalistic
1259,ambient
1259,Ethnic
1259,Experimental
1263,Rave
1263,Techno
1264,Orchestral
1265,cowbell
1266,masturbate
1267,"1989"
1267,Amiga
1267,video
1270,"1991"
1270,bubbly
1270,TheParty
1270,video
1270,water
1271,"1990"
1272,Repetitive
1272,Techno
1272,Untz
1274,happy
1276,Short
1281,"1996"
1281,Drum&Bass
1283,TruckDriversGearChange
1288,Short
1289,GameRemix
1289,Guitar
1290,cover
1291,GameRemix
1293,Eurodance
1293,Speak
1295,long
1298,Spacesynth
1299,"2001"
1299,Drum&Bass
1299,Mekka&Symposium
1301,atmospheric
1301,Dark
1301,long
1301,Repetitive
1301,Speak
1302,breakbeat
1302,hitit
1302,smooth
1302,vibes
1303,anal
1303,food
1303,long
1303,Movie
1303,samples
1304,ambient
1304,Chillout
1304,lounge
1308,Chillout
1308,Dub
1308,Vocals
1309,Geography
1310,ambient
1310,Chillout
1310,long
1310,lounge
1312,long
1313,Reggae
1315,panflutes
1320,Guitar
1322,"1991"
1322,arpeggios
1322,Atari
1322,Demo
1322,TruckDriversGearChange
1324,Flute
1326,StarWars
1328,Juhla
1329,"1996"
1329,close_to_god
1329,Compowinner
1329,Religion
1329,TheParty
1338,anal
1338,drugs
1340,video
1341,"1997"
1341,Compowinner
1341,Juhla
1342,food
1343,OutOfTune
1346,ApolloMissionSamples
1346,Maths
1348,samples
1349,"2000"
1349,"64k"
1349,Ambience
1349,ixs
1349,softsynth
1349,technically-awesome
1349,video
1349,Windows
1350,"2001"
1350,Geography
1350,panflutes
1350,Takeover
1351,"2001"
1351,ambient
1351,Compowinner
1351,Demo
1351,Enigma
1351,Epic
1351,Maths
1351,Newage
1351,panflutes
1351,Windows
1352,Jungle
1352,Loop
1352,Short
1352,vibes
1353,cinematic
1355,Industrial
1356,"1998"
1356,Assembly
1356,Demo
1356,DOS
1358,Guitar
1358,Relaxing
1360,Assembly
1360,C64
1360,Compowinner
1360,SID
1363,Psytrance
1365,Assembly
1365,Bagpipes
1365,Compowinner
1368,Assembly
1369,animal
1369,Popcorn
1375,Eurochart
1376,diskmag
1376,Eurochart
1377,diskmag
1377,Eurochart
1377,long
1378,Eurochart
1378,long
1379,"1992"
1379,diskmag
1379,Eurochart
1379,TheParty
1380,Eurochart
1381,Eurochart
1381,long
1382,Eurochart
1382,long
1382,saxophone
1383,Eurochart
1383,long
1384,Eurochart
1384,long
1385,Eurochart
1386,Eurochart
1387,Eurochart
1387,long
1388,"1995"
1388,Eurochart
1388,SouthSealandParty
1390,Vocals
1391,"1994"
1391,TheParty
1398,Jazz
1400,Guitar
1401,Chillout
1402,Guitar
1402,Piano
1405,bass
1408,animal
1408,Hammond
1409,Guitar
1411,Jazz
1412,Groovy
1412,lounge
1412,smooth
1414,Esperenza
1414,OutOfTune
1415,dance
1415,Guitar
1420,"1998"
1420,Casio
1420,Dreams
1420,eyes
1420,Gym
1420,ImpulseTracker
1420,La
1420,Lige
1420,Louvain-La-Neuve
1420,marie
1420,martin
1420,midi
1420,Roland
1420,Salamandre
1420,Seraing
1420,VanHalen
1421,"1997"
1421,Esperenza
1421,Gravity
1421,Piano
1422,Bleepy
1423,"1997"
1423,Esperenza
1423,Experimental
1425,ORCHESTRAHIT
1426,trance
1426,Untz
1427,Jazz
1428,jumpy
1428,maf-inspired
1429,Esperenza
1429,Floppy
1429,fun
1429,Guitar
1429,Metal
1429,Piano
1429,Rave
1430,Vocals
1431,Esperenza
1431,fun
1431,Hardcore
1431,TheParty
1432,TruckDriversGearChange
1433,Esperenza
1433,Loop
1433,Space
1433,Techno
1436,Choir
1436,coop
1436,Guitar
1436,House
1436,Jungle
1436,Progressive
1436,Rave
1436,Vocals
1437,Eurodance
1437,trance
1437,TruckDriversGearChange
1437,Untz
1437,Vocals
1438,chipmunk
1438,coop
1438,dance
1438,FrenchSpeak
1438,Vocals
1440,coop
1440,Lyrics-Incomplete
1440,polarizing
1442,OutOfTune
1445,FemaleMoans
1447,Space
1448,Chant
1448,Chillout
1448,Choir
1448,Enigma
1451,animal
1451,GameRemix
1451,Ninja
1453,GameRemix
1453,SpaceShooter
1454,arpeggios
1454,GameRemix
1455,Beatemup
1455,GameRemix
1461,Short
1466,Piano
1471,samples
1471,Time
1473,Repetitive
1474,"1991"
1474,HorizonParty
1475,"1990"
1475,Amiga
1475,Demo
1475,ORCHESTRAHIT
1475,PhenomenaAndCensorParty
1475,video
1476,Reggae
1476,video
1478,GameRemix
1478,Geography
1479,GameRemix
1480,GameRemix
1481,Gamemusic
1484,Drum&Bass
1485,ambient
1485,Calm
1485,Chillout
1485,Mellow
1490,anal
1490,Short
1491,GameRemix
1491,long
1492,Racing
1492,Rock
1493,"1988"
1493,Gameport
1493,Oriental
1494,GameRemix
1495,ComicBakery
1495,GameRemix
1497,weird
1500,animal
1500,Gamemusic
1502,"1989"
1502,Gamemusic
1502,Mystic
1503,"1989"
1503,animal
1503,Fantasy
1503,Flute
1503,Gamemusic
1503,psygnosis
1506,animal
1506,Cartoon
1506,Gameport
1506,TV
1507,C64
1507,SID
1508,ayeah
1508,checkthisout
1508,CommercialSamples
1508,Gamemusic
1508,Remix
1508,SpaceShooter
1508,video
1510,"1988"
1510,AwfulGuitarSample
1510,SpaceShooter
1512,coop
1513,Short
1516,House
1516,lounge
1517,"2000"
1517,coop
1517,Mekka&Symposium
1518,video
1525,Industrial
1525,Space
1530,Industrial
1530,lowfi
1531,Geography
1531,worldmusic
1532,Vocals
1534,Funk
1535,food
1547,Short
1548,lounge
1550,animal
1552,Funk
1552,saxophone
1554,Short
1555,AwfulGuitarSample
1556,AwfulSaxophone
1556,Maggy
1567,long
1569,Short
1571,Maggy
1572,OutOfTune
1577,Energetic
1578,Amiga
1578,Funk
1578,Scream
1579,StarTrek
1580,animal
1580,long
1580,meow
1581,ORCHESTRAHIT
1581,Remix
1584,Short
1585,Maggy
1587,Short
1588,long
1592,TruckDriversGearChange
1595,food
1600,OutOfTune
1601,Short
1606,"1990"
1606,Amiga
1606,Demo
1607,Funk
1607,soul
1607,video
1608,Funky
1609,OutOfTune
1613,Short
1616,Short
1618,Short
1628,"1992"
1628,ORCHESTRAHIT
1628,saxophone
1630,coop
1632,saxophone
1634,Amiga
1634,OutOfTune
1636,Maggy
1636,TruckDriversGearChange
1638,animal
1638,coop
1639,Repetitive
1647,Short
1652,Geography
1654,bad_encoder
1655,Short
1664,video
1665,video
1675,"1990"
1675,Amiga
1675,AmigaConference
1675,Compowinner
1675,Demo
1675,video
1676,"1990"
1676,Amiga
1676,AmigaConference
1676,Demo
1678,Geography
1680,"1994"
1680,"3rd"
1680,Amiga
1680,Demo
1680,FridayatEight
1680,TheGathering
1680,video
1681,Piano
1681,wah-wah
1685,ORCHESTRAHIT
1685,OutOfTune
1685,Untz
1686,TruckDriversGearChange
1692,"1994"
1692,Assembly
1693,happy
1693,Melodic
1693,Reggae
1693,Remix
1694,Folk
1694,FolkDance
1697,letsgo
1698,"80s"
1698,coop
1698,Epic
1698,italo
1698,synthpop
1700,Industrial
1700,Repetitive
1701,House
1701,Minimal
1702,boring
1713,Minimal
1716,boring
